Source,Target,Weight,Max_Weight,Edge_Count,Avg_Text_Similarity,Avg_Time_Score,Min_Time_Delta_Seconds,Edge_Types,Dominant_RT_Source,Query_Context,Example_Tweet_1,Example_Tweet_2
anyofthings,nozit66263479,0.8442332114345413,0.8442332114345413,1,0.7033692598342896,0.9850971630347931,13.0,semantic,,ganjar,"Dengan fokus pada upaya legislatifnya, Ganjar Pranowo Mahfud MD berharap dapat membantu menciptakan transformasi signifikan lapangan kerja yang setara dan mendukung perempuan di...",Ganjar Pranowo Mahfud MD menyoroti pentingnya penyuluhan dan dukungan untuk memastikan bahwa perubahan legislasi ini dapat diimplementasikan dengan efektif di semua tingkat desa...
anyofthings,kyton83321444,0.8436646462324996,0.8436646462324996,1,0.7033692598342896,0.9839600326307096,14.0,semantic,,ganjar,"Dengan fokus pada upaya legislatifnya, Ganjar Pranowo Mahfud MD berharap dapat membantu menciptakan transformasi signifikan lapangan kerja yang setara dan mendukung perempuan di...",Ganjar Pranowo Mahfud MD menyoroti pentingnya penyuluhan dan dukungan untuk memastikan bahwa perubahan legislasi ini dapat diimplementasikan dengan efektif di semua tingkat desa...
anyofthings,mbsqt84444943,0.8436646462324996,0.8436646462324996,1,0.7033692598342896,0.9839600326307096,14.0,semantic,,ganjar,"Dengan fokus pada upaya legislatifnya, Ganjar Pranowo Mahfud MD berharap dapat membantu menciptakan transformasi signifikan lapangan kerja yang setara dan mendukung perempuan di...",Ganjar Pranowo Mahfud MD menyoroti pentingnya penyuluhan dan dukungan untuk memastikan bahwa perubahan legislasi ini dapat diimplementasikan dengan efektif di semua tingkat desa...
Himansh57222985,go83996201vinay,0.8435823376662924,0.8435823376662924,1,0.7156267762184143,0.9715378991141705,25.0,semantic,,ganjar,"Jakarta yakin, kehangatan keluarga Ganjar Pranowo akan membawa kehangatan pada pemerintahan nasional Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Petani Ba...","Ganjar Pranowo, seorang ayah yang bijaksana, memberikan keyakinan bahwa beliau juga dapat menjadi pemimpin yang bijaksana bagi warga Jakarta Ganjar Mahfud Hebat #L3bihbaik #Mahf..."
gmonoona138,samialbader,0.8435416793973618,0.8435416793973618,1,0.6985669136047363,0.9885164451899874,10.0,semantic,,ganjar,Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar..."
gmonoona61,samialbader,0.8435416793973618,0.8435416793973618,1,0.6985669136047363,0.9885164451899874,10.0,semantic,,ganjar,Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar..."
gmonoona75,jrehdphayazo,0.8435416793973618,0.8435416793973618,1,0.6985669136047363,0.9885164451899874,10.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...
gmonoona75,mae_trinidad,0.8435416793973618,0.8435416793973618,1,0.6985669136047363,0.9885164451899874,10.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Program Capres Ganjar Pranowo dan Cawapres Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMa...
Himansh57222985,leo23915977,0.8431127241851346,0.8431127241851346,1,0.7983865737915039,0.8878388745787653,103.0,semantic,,ganjar,ð Kemesraan keluarga Ganjar Pranowo adalah gambaran nyata bahwa seorang pemimpin sejati adalah yang peduli pada keluarga Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #Gan...,"Ganjar Pranowo, seorang ayah yang bijaksana, memberikan keyakinan bahwa beliau juga dapat menjadi pemimpin yang bijaksana bagi warga Jakarta Ganjar Mahfud Hebat #L3bihbaik #Mahf..."
AhmadMa09842037,Swarnad71915084,0.842723191136574,0.842723191136574,1,1.0,0.6854463822731481,327.0,retweet,ethadisaputra,prabowo,"Polling pertama di 2024. Yakinkan pilihan Anda. @aniesbaswedan @prabowo @ganjarpranowo Polling tertutup, ga usah takut di ulti. Komen, Repost dan Like yaaa...... Selamat Tahun b...","Polling pertama di 2024. Yakinkan pilihan Anda. @aniesbaswedan @prabowo @ganjarpranowo Polling tertutup, ga usah takut di ulti. Komen, Repost dan Like yaaa...... Selamat Tahun b..."
AlvaAugust14185,manilyn37,0.842434823513031,0.842434823513031,1,0.684869647026062,1.0,0.0,semantic,,ganjar,"Inspirasi sejati. Ganjar Pranowo Mahfud MD hadirkan solusi, 35% kredit perbankan buat koperasi dan UMKM. Kita bersama bangun Indonesia yang lebih baik.#GanjarMahfudRebound #Ganj...","Berkah baru. Ganjar Pranowo Mahfud MD alokasikan 35% kredit perbankan untuk koperasi dan UMKM. Sukses selalu, para pebisnis kecil.#GanjarMahfudRebound #GanjarPranowoPilihanUmat ..."
Fatien_Epiey,RisnaVeraw22441,0.842434823513031,0.842434823513031,1,0.684869647026062,1.0,0.0,semantic,,ganjar,"Berkah baru. Ganjar Pranowo Mahfud MD alokasikan 35% kredit perbankan untuk koperasi dan UMKM. Sukses selalu, para pebisnis kecil.#GanjarMahfudRebound #GanjarPranowoPilihanUmat ...","Inspirasi sejati. Ganjar Pranowo Mahfud MD hadirkan solusi, 35% kredit perbankan buat koperasi dan UMKM. Kita bersama bangun Indonesia yang lebih baik.#GanjarMahfudRebound #Ganj..."
Gmonoona167,albarathrum,0.8424119468728531,0.8424119468728531,1,0.7042673826217651,0.9805565111239412,17.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
ShorshB,albarathrum,0.8424119468728531,0.8424119468728531,1,0.7042673826217651,0.9805565111239412,17.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
albarathrum,jovaniesalinas,0.8424119468728531,0.8424119468728531,1,0.7042673826217651,0.9805565111239412,17.0,semantic,,ganjar,"Program Ganjar Pranowo dan Mahfud MD, duo hebat untuk rakyat. 35% kredit perbankan difokuskan untuk dorong koperasi dan UMKM. Inilah perubahan nyata.#GanjarMahfudRebound #Ganjar...",Terimakasih. Ganjar Pranowo Mahfud MD persembahkan 35% kredit perbankan untuk koperasi dan UMKM. Langkah besar menuju kesejahteraan bersama.#GanjarMahfudRebound #GanjarPranowoPi...
